id_imovel,id_proprietario,logradouro,CEP,cidade,bairro
219,8,56 Londonderry Park,33993224,Magisterial,Center
256,1,5 Browning Way,48239853,Dallas,Bunker Hill
211,1,027 Autumn Leaf Circle,68404508,Mandera,Rutledge
243,5,29 Packers Alley,98034178,Aroroy,Kinsman
229,8,885 North Plaza,72856255,Hoàn Kiếm,Cambridge
244,1,5 Straubel Hill,48736541,Posedarje,Pleasure
258,10,6670 Monterey Way,35581651,Zoumaping,Veith
212,9,9954 Carpenter Court,79465226,Kezileboyi,Bowman
242,2,61 Eagle Crest Park,46822876,Głubczyce,Grover
265,7,972 Delaware Lane,01176670,Gondanglegi Wetan,Fairview
265,5,52 Graceland Center,68835361,Gapan,Gerald
266,4,9674 Merrick Plaza,73638013,Kokopo,Ronald Regan
278,5,0 Pearson Crossing,35817345,Ruma,Graceland
284,10,69 Prentice Way,76649492,Madrid,Blackbird
234,2,4 Northfield Junction,47171213,Sandefjord,Mallory
237,3,1 Bartelt Court,35019971,Cambanay,Grim
215,8,51570 Swallow Parkway,80251919,Gojō,Daystar
219,8,21 Corscot Street,56070767,Xiaochuan,Oxford
217,3,20 Randy Park,92504292,Basiao,Spenser
216,2,5300 Sachtjen Drive,23468660,Nzeto,Redwing
287,10,9 Elmside Way,52503376,Gonayiv,Hintze
282,3,1 Utah Alley,61085812,Boston,Blue Bill Park
246,1,3017 Coolidge Junction,83580380,Saint-Constant,Little Fleur
206,1,8 Dennis Road,73691428,Bluff,Fisk
212,6,6264 Northfield Hill,23705354,Iguape,Pine View
245,7,4170 Esch Lane,94595403,Jieheshi,Rutledge
289,4,0 Surrey Alley,57194134,Shumerlya,Charing Cross
294,9,0 Hoffman Alley,88842788,Leku,Pond
278,5,7 Golf Course Road,62643079,Puck,Elka
282,4,4 West Street,23029852,Jacura,Nova
204,10,7 Browning Hill,27484442,Qādirpur Rān,Westend
272,2,80522 Amoth Trail,24763662,Sumberejo,Laurel
202,10,02330 Union Park,01509250,Summerland,Sunfield
298,4,4 Arizona Parkway,08883893,Kadipaten,Vahlen
204,10,07273 Portage Alley,11266787,Yamoussoukro,Clove
296,8,706 Farmco Road,20819170,Chlumec,Kings
295,4,883 Hoffman Court,59275938,Pouso Alegre,Trailsway
289,8,48141 Bultman Drive,68546043,København,Mallory
234,7,986 Clemons Place,85358988,Seredka,Holmberg
218,2,3186 Susan Park,97932766,Jianfeng,Maple Wood
279,4,62 Brickson Park Hill,82278584,Veliko Tŭrnovo,Novick
261,4,36657 Wayridge Point,76348655,Sajan,Lawn
202,2,7 Golf Trail,11060770,Zvishavane,Sutherland
269,4,98562 Debs Pass,58499653,Maisons-Laffitte,Kensington
256,6,7 Forest Dale Park,98157733,Huangjia,Onsgard
239,10,98 Florence Junction,62136931,Limenária,Maywood
263,2,188 Hermina Trail,02371567,Xylókastro,Veith
278,10,93 Linden Circle,93546558,Aucallama,Kropf
227,1,312 Prairie Rose Junction,86745691,Nangong,Ludington
239,9,028 Meadow Valley Street,47770437,Pandasan,Westport
208,10,270 Ridgeview Circle,51170592,Tualangcut,Bluestem
253,5,9 Tony Place,93325304,Vicuña,Bayside
243,2,516 Marcy Center,34655532,Oslo,Dixon
219,8,541 6th Junction,67104774,Ntungamo,Basil
200,2,92 Pankratz Plaza,38703486,San Jose,Westridge
282,5,7278 Grayhawk Plaza,00838507,Longquan,Linden
290,2,5353 2nd Court,61607914,Soreang,Redwing
297,1,94 Clemons Circle,75674110,Kukës,Kenwood
248,1,47554 Judy Pass,17519941,Lysekil,Fairview
236,8,88608 Roth Center,02245177,Al Jamīmah,Heffernan
250,7,124 Rieder Street,40198904,Pshada,Derek
276,9,74800 International Road,20832001,Kuanghe,Maple
237,9,7019 New Castle Avenue,56496029,Maae,Huxley
211,8,0587 Trailsway Park,16154857,San Pedro,Stang
208,2,944 Springs Park,95230061,Zelenogorsk,Sherman
205,3,2 6th Center,94741192,Al Jubayl,Dottie
265,6,700 Kingsford Place,42296505,Mogi Guaçu,Gateway
299,7,77 8th Plaza,05257744,Romans-sur-Isère,Killdeer
224,8,01463 Sachtjen Crossing,32689530,Sterlibashevo,Novick
299,7,931 Anniversary Center,28302322,Sande São Martinho,Saint Paul
290,5,1 Cardinal Crossing,67798458,Geshan,Elmside
201,5,75 Melvin Junction,79862050,Bitobe,Nevada
224,1,00690 Bultman Plaza,14079799,Velykoploske,Coleman
260,10,5 Reinke Plaza,33910671,Gjirokastër,High Crossing
226,1,7455 Roxbury Junction,00855605,Petoa,Pond
258,7,99 Butternut Street,63796869,Bulls,Pine View
290,8,92 Kenwood Road,34426704,Telaga,Westend
266,8,7 Spohn Way,05266497,Örebro,Arkansas
258,7,7230 Red Cloud Circle,81431358,Renfengzhuang,Buell
200,3,0 Stone Corner Place,56228479,Moville,Kim
294,10,1 Carberry Circle,92477839,Jiguan,Farwell
231,4,777 Harper Lane,18923701,Āl Ma‘ūdah,Victoria
298,6,6 Vera Way,62454864,Xingang,Rigney
210,4,5 Brown Street,83492542,Nueva Esperanza,School
261,10,841 Packers Junction,86778399,Huaccana,Mayer
283,10,3 Arizona Crossing,36896207,Mabay,Oxford
299,3,81 Warrior Circle,59603830,Takokak,Kings
205,2,369 Hallows Street,72878307,Mlangali,Butternut
290,6,838 Sachtjen Terrace,20918807,Cagwait,Nelson
211,9,54 Marquette Way,45091628,Quartier Militaire,Mayer
287,7,456 Kipling Road,12834269,Huangben,Morningstar
274,3,84753 Heffernan Junction,93935471,Maodian,Thierer
220,1,6696 Di Loreto Way,29704305,Encañada,Truax
202,9,81 Express Place,59235451,Youfang,Elka
236,10,78492 Stang Road,83826181,Daitōchō,Vahlen
273,9,64100 Lakewood Parkway,35967192,Whittlesea,Granby
205,4,3 Corben Center,88623112,Fuzhuang,Steensland
223,6,79 Cordelia Parkway,99787378,Jiefu,Northfield
265,1,8 Merrick Court,73809477,Larkird,Jenna
218,5,0 Sage Park,64290990,Rumilly,Killdeer
